symbol,beta_pos,beta_neg,beta_diff,correlation,r_squared
AAPL,1.2322288781664148,1.1748235776550826,0.05740530051133219,0.580003481434031,0.3364040384755963
ABBV,0.9742613023742093,1.0791620264828417,-0.10490072410863238,0.49620227381474064,0.24621669653891864
ABT,1.0710123409422898,1.1237448463868003,-0.05273250544451047,0.6778926620334834,0.4595384612388427
ACGL,0.5910099957760773,0.6363845806426884,-0.04537458486661117,0.5230735497132133,0.2736059384095815
ACN,1.0271921550405383,1.0760808951327137,-0.048888740092175365,0.7011690260273337,0.49163800306011984
ADBE,1.4383305569143545,1.1915829129662683,0.24674764394808624,0.6431247112378075,0.4136093942047132
ADI,1.2234968222384297,1.173520510686023,0.04997631155240678,0.6427724853407473,0.41315646791112093
ADM,0.8637766414637942,0.9418078929882602,-0.078031251524466,0.5386128801638826,0.29010383467843315
ADP,1.0815418433484125,1.0286582279410244,0.052883615407388174,0.7082806271869602,0.5016614468483538
ADSK,1.235372384671209,1.5317718578266617,-0.2963994731554527,0.5973800431456049,0.3568629159486446
AEE,0.5053622098904884,0.3845161679826808,0.12084604190780762,0.3209480712931005,0.10300766446676113
AEP,0.3667973185535261,0.3387640572708768,0.028033261282649324,0.29624252504904286,0.08775963364743267
AES,0.8017782794506075,0.8798948672416486,-0.07811658779104103,0.4526682053617035,0.2049085041453853
AFL,0.8423280263524678,0.8855196784095473,-0.04319165205707942,0.6535480874088504,0.4271251025557662
AIG,0.9271140704266121,0.983542972295361,-0.05642890186874894,0.6263791788772669,0.39235087573095917
AIZ,0.8691046535117917,0.8910004258798869,-0.021895772368095257,0.5466658654108575,0.29884356840540194
AJG,0.7649971796445735,0.8896820995339811,-0.12468491988940766,0.665415977846542,0.44277842357346975
AKAM,1.244377661825682,1.2406099613435093,0.0037677004821727866,0.4867020437531589,0.23687887939350183
ALB,0.9693933176838331,1.232129839221058,-0.26273652153722493,0.5221030890558102,0.27259163560161903
ALGN,1.139167714005223,1.4410391956666222,-0.3018714816613992,0.4766132593430162,0.22716019898157314
ALL,0.77479430233179,0.7952898343373626,-0.020495532005572525,0.6066357538982795,0.3680069379077342
AMAT,1.2848298189073708,1.3747866234989659,-0.08995680459159505,0.6012025478910824,0.3614445035907291
AMCR,-0.11804312063590132,0.1761157576172917,-0.29415887825319303,0.023914530916423458,0.0005719047889526374
AMD,1.3613508622739703,1.949361502845863,-0.5880106405718928,0.3700140018637026,0.1369103615751922
AME,1.0416794054966907,1.0795313121322718,-0.037851906635581134,0.7361694993269401,0.5419455317392774
AMGN,1.2797247807785825,1.11259344749073,0.16713133328785257,0.5946353643019237,0.35359121647848146
AMP,1.3469500678560067,1.569557563396915,-0.2226074955409083,0.7549528616354212,0.5699538232915113
AMT,0.5701709172333309,0.7031160839105125,-0.1329451666771816,0.4384276660490952,0.19221881835725685
AMZN,1.2776250469045716,1.2680215276726525,0.009603519231919044,0.5780345817059307,0.33412397764795043
ANSS,1.058616853638342,1.1088770177766782,-0.05026016413833623,0.6652840138212269,0.44260281904608245
AON,0.8400642105091178,0.8939635889874948,-0.053899378478377,0.6453788314538793,0.41651383608877435
AOS,1.0737866665715154,1.0632162342279992,0.01057043234351629,0.631995201797594,0.39941793509518175
APA,1.380605554316555,1.2991874037822724,0.08141815053428259,0.45244490614244104,0.20470639309424243
APD,0.92296265657655,0.9489051282617434,-0.02594247168519348,0.649782086194951,0.4222167595398627
APH,1.0634206762576595,1.0564265496228449,0.006994126634814579,0.7143440062024649,0.5102873591973871
APO,1.0470067658653617,1.1850510841097204,-0.1380443182443587,0.5312684891123233,0.2822462075236907
APTV,1.2535870379268752,1.334380360279289,-0.08079332235241377,0.6144982524090841,0.37760810221381835
ARE,0.6155493137603709,0.6655939836614252,-0.05004466990105427,0.4698420275945085,0.22075153089411892
ATO,0.5156527020709654,0.38570972591969227,0.1299429761512731,0.3709535557552828,0.13760654052748766
AVB,0.5506044227041874,0.5569728090363079,-0.006368386332120446,0.4059274319456688,0.16477708000600544
AVGO,1.3730673631318087,1.3872072472163324,-0.014139884084523713,0.5480096581406185,0.30031458541539724
AVY,0.8929960712741434,1.0181634038257341,-0.12516733255159074,0.6252794257054245,0.3909743602105058
AWK,0.4143420137873717,0.3570278226453129,0.05731419114205877,0.31054704994509963,0.09643947022960409
AXON,1.104636514966241,1.0456851630482185,0.05895135191802248,0.3336034118175626,0.11129123637631833
AXP,0.9051871930895626,1.116442443403429,-0.21125525031386638,0.649409328060547,0.42173247537205116
AZO,0.5934275302058094,0.6342644810195857,-0.04083695081377625,0.3818283372708068,0.1457928791429891
BA,1.0530642398714185,1.2019042483566682,-0.1488400084852497,0.5907447991002046,0.34897941766394114
BAC,1.256833194070352,1.3812523197082431,-0.12441912563789104,0.6784152640999945,0.4602472705638654
BALL,0.7692919514247565,0.7717184573081982,-0.002426505883441732,0.5254995907203861,0.27614981984729325
BAX,0.8595072682738729,0.855527038711575,0.003980229562297932,0.572222248534535,0.327438301717919
BBY,1.0125119556573248,1.0390672251459516,-0.026555269488626854,0.3757024938483444,0.1411523638838652
BDX,0.8419189851496292,0.9346246272470163,-0.09270564209738719,0.6213247874775267,0.3860444915339938
BEN,1.1774686177800586,1.2372205098707494,-0.05975189209069076,0.6962244289914862,0.48472845552452104
BF-B,0.8187165551043831,0.756318673150523,0.06239788195386009,0.5214092247248406,0.2718675796281592
BG,0.5456347220920058,0.5639564654867065,-0.018321743394700718,0.335282454997205,0.11241432462895296
BIIB,1.2714192129825514,1.188738244010727,0.08268096897182442,0.41673931442019446,0.17367165618341363
