symbol,date,RS_21,RS_55,RS_123,anchored_RS,RSribbon_8,RSribbon_21,RSribbon_42,slope_21,slope_42
AACG,2015-05-26,,,,,,,,,
AACG,2015-05-27,,,,,,,,,
AACG,2015-05-28,,,,,,,,,
AACG,2015-05-29,,,,,,,,,
AACG,2015-06-01,,,,,,,,,
AACG,2015-06-02,,,,,,,,,
AACG,2015-06-03,,,,,,,,,
AACG,2015-06-04,,,,,,,,,
AACG,2015-06-05,,,,,-0.004764628446198099,,,,
AACG,2015-06-08,,,,,0.005548007246376788,,,,
AACG,2015-06-09,,,,,-0.002490942028985532,,,,
AACG,2015-06-10,,,,,0.0054323735738513595,,,,
AACG,2015-06-11,,,,,0.010534414390177896,,,,
AACG,2015-06-12,,,,,0.010534414390177896,,,,
AACG,2015-06-15,,,,,0.017887355566648486,,,,
AACG,2015-06-16,,,,,0.025176559664363204,,,,
AACG,2015-06-17,,,,,0.022459168360015394,,,,
AACG,2015-06-18,,,,,0.019799593891930298,,,,
AACG,2015-06-19,,,,,0.02240376055859697,,,,
AACG,2015-06-22,,,,,0.00815604019385531,,,,
AACG,2015-06-23,,,,,0.0006501532236826146,,,,
AACG,2015-06-24,9.759740259739864,,,,-0.0018008271684742533,0.0014899588339972684,,,
AACG,2015-06-25,-28.307526661197844,,,,0.013346231655055149,0.012976839300469566,,0.011486880466472298,
AACG,2015-06-26,-22.892918825561004,,,,0.006597957957628908,0.010099343423710608,,-0.002877495876758958,
AACG,2015-06-29,-9.003674271554248,,,,0.0044427855438358005,0.010270388853376727,,0.00017104542966611853,
AACG,2015-06-30,-8.320330969267166,,,,0.0022498030876954705,0.009434966965323269,,-0.0008354218880534583,
AACG,2015-07-01,-11.151579225584893,,,,1.766023055260746e-05,0.008584626829268844,,-0.0008503401360544244,
AACG,2015-07-02,-6.029604700245336,,,,0.0021280498409422255,0.005987224231866246,,-0.0025974025974025983,
AACG,2015-07-06,-5.062318840579706,,,,-0.002679642466750079,0.004253142710550677,,-0.001734081521315569,
AACG,2015-07-07,-0.0,,,,-0.005330702890919747,0.0012743114264842596,,-0.0029788312840664175,
AACG,2015-07-08,7.972776073619605,,,,-0.04112857523134526,-0.004804715929138834,,-0.006079027355623093,
AACG,2015-07-09,4.5944194949569885,,,,-0.033057550211167686,-0.0015450787409302127,,0.003259637188208621,
AACG,2015-07-10,6.008848294562602,,,,-0.02806146870646549,-0.002489170110553501,,-0.0009440913696232883,
AACG,2015-07-13,35.570735821209944,,,,-0.03142404180588072,-0.006549206823651444,,-0.004060036713097943,
AACG,2015-07-14,-24.96939586645462,,,,-0.03209887569292391,-0.00765662653572232,,-0.0011074197120708763,
AACG,2015-07-15,-23.49565217391314,,,,-0.031233074827123036,-0.012725320680046715,,-0.005068694144324395,
AACG,2015-07-16,-18.716964285714404,,,,-0.017771536365584595,-0.012108036729429436,,0.0006172839506172791,
AACG,2015-07-17,-20.04198473282459,,,,-0.012669495549258059,-0.012108036729429436,,0.0,
AACG,2015-07-20,-74.69014084506425,,,,0.0006283767911674648,-0.012108036729429436,,0.0,
AACG,2015-07-21,-69.62344720496858,,,,-0.014252575589784919,-0.015509397273647122,,-0.0034013605442176856,
AACG,2015-07-22,56.96243291591949,,,,-0.013888356475565786,-0.010887035508428204,,0.004622361765218918,
AACG,2015-07-23,20.825490196078448,,,,-0.008332800920010222,-0.009971284592677286,,0.0009157509157509177,
AACG,2015-07-24,17.510865051903096,,,,-0.011675824175824176,-0.01141853015756991,-0.004964285661786321,-0.0014472455648926238,
AACG,2015-07-27,25.67161627509377,,,,-0.018881337960285335,-0.02500249005731928,-0.006012825378424857,-0.01358395989974937,-0.001048539716638536
AACG,2015-07-28,100.40402991275246,,,,-0.021454867372050032,-0.02279482733121189,-0.0063477419537506415,0.0022076627261073886,-0.0003349165753257846
AACG,2015-07-29,-16.279600963192244,,,,-0.02502629594347859,-0.023334353486501584,-0.0065319823165624295,-0.0005395261552896928,-0.000184240362811788
AACG,2015-07-30,-18.62295918367354,,,,-0.028702766531713886,-0.023899491822537762,-0.0072322624286072475,-0.0005651383360361778,-0.000700280112044818
AACG,2015-07-31,-31.475757575757736,,,,-0.01977419510314246,-0.02304915168648334,-0.0072322624286072475,0.0008503401360544227,0.0
AACG,2015-08-03,-35.79390420899868,,,,-0.022979323308270683,-0.02045174908908074,-0.0072322624286072475,0.0025974025974025983,0.0
AACG,2015-08-04,-27.57251145356087,,,,-0.022979323308270683,-0.017704496341827993,-0.006725676815638658,0.002747252747252748,0.0005065856129685894
AACG,2015-08-05,-33.51144335825156,,,,-0.016729323308270677,-0.01576086174513217,-0.007243275159323955,0.0019436345966958243,-0.0005175983436852966
AACG,2015-08-06,-11.885598141695693,,,,-0.0035714285714285726,-0.010695005615446255,-0.007749860772292545,0.005065856129685914,-0.0005065856129685903
AACG,2015-08-07,-19.49904942965795,,,,-0.007247899159663854,-0.012962579311591383,-0.007253829026260798,-0.002267573696145128,0.0004960317460317469
AACG,2015-08-10,-21.73574879227045,,,,-0.0074643493761140794,-0.015487831836843905,-0.008988500973698703,-0.0025252525252525224,-0.0017346719474379052
AACG,2015-08-11,37.80225056264069,,,,-0.0076941287878787845,-0.014859524958537025,-0.010704365891094234,0.0006283068783068807,-0.0017158649173955303
AACG,2015-08-12,26.427318295739013,45.07813733228103,,,-0.011726386852394924,-0.01528820355675801,-0.011472415046240166,-0.00042867859822098495,-0.0007680491551459324
