breakout_date,breakout_price,volume
2005-10-20,56.14,48491500
2005-10-31,57.59,33601600
2005-11-16,64.95,28018400
2005-11-17,64.52,24150200
2005-11-28,69.66,36375700
2005-12-01,71.6001,29031900
2005-12-02,72.63,31991500
2005-12-06,74.05,30608200
2005-12-07,73.95,24266600
2006-01-06,76.3,25159200
2006-01-09,76.05,24108600
2006-01-10,80.86,81423900
2006-01-11,83.9,53349800
2006-01-12,84.291,45743200
2006-01-13,85.5899,27725200
2006-04-05,67.21,79764600
2006-04-06,71.24,95134600
2006-04-07,69.79,55187100
2006-07-20,60.5,70433800
2006-07-21,60.72,31853300
2006-07-26,63.87,32086700
2006-07-31,67.96,31887200
2006-09-05,71.48,36159200
2006-09-06,70.03,34789400
2006-09-07,72.8,45284200
2006-09-08,72.52,31997200
2006-09-13,74.2,40933500
2006-09-26,77.61,39391000
2006-10-19,78.99,54034900
2006-10-23,81.46,29732400
2006-11-08,82.45,24675600
2006-11-09,83.34,32966200
2006-11-16,85.61,24783600
2006-11-20,86.47,20385500
2006-11-21,88.6,22238100
2006-11-22,90.31,23997900
2007-01-09,92.57,119617800
2007-01-10,97.0,105460000
2007-01-11,95.8,51437600
2007-02-21,89.2,41261200
2007-02-22,89.51,29936600
2007-03-12,89.87,26050300
2007-03-14,90.0,28449500
2007-03-26,95.85,30892400
2007-03-27,95.46,33287600
2007-04-23,93.51,27867500
2007-04-24,93.24,37687600
2007-04-25,95.348,42398000
2007-04-26,98.84,62063500
2007-04-27,99.92,24978700
2007-05-07,103.92,30769900
2007-05-08,105.06,27999900
2007-05-10,107.34,42759200
2007-05-23,112.89,32549100
2007-05-30,118.77,52801600
2007-05-31,121.191,46323800
2007-06-05,122.67,32885200
2007-06-06,123.64,39722900
2007-06-07,124.069,68395700
2007-06-08,124.49,44345800
2007-07-03,127.17,41517200
2007-07-05,132.75,51894700
2007-07-20,143.75,41706200
2007-07-23,143.7,37017500
2007-07-26,146.0,78093900
2007-08-30,136.25,51270800
2007-09-04,144.16,47030100
2007-09-21,144.15,40674300
2007-09-25,153.18,42591100
2007-10-05,161.4499,33695400
2007-10-09,167.86,39438800
2007-10-17,172.75,40271900
2007-10-22,174.36,58910700
2007-10-23,186.16,64113000
2007-10-24,185.93,46017200
2007-11-26,172.5419,46634100
2007-11-27,174.81,47036800
2008-02-28,129.91,57794800
2008-03-13,127.94,45075100
2008-04-07,155.89,41368800
2008-04-18,161.04,36670200
2008-04-21,168.16,37112600
2008-04-24,168.94,60573800
2008-04-30,173.95,40697300
2008-08-11,173.56,31832300
2008-08-12,176.73,29867100
2008-08-13,179.3,30083800
2008-10-14,104.08,70749800
2008-10-29,104.55,69677800
2008-12-03,95.9,47810000
2009-01-05,94.58,42200300
2009-01-06,93.02,46046800
2009-03-12,96.35,27444900
2009-03-17,99.66,28094500
2009-03-18,101.52,28429900
2009-04-02,112.71,29013100
2009-04-16,121.45,21194500
2009-04-23,125.4,33755600
2009-05-04,132.07,21762800
2009-05-26,130.78,22747400
2009-05-27,133.05,23086500
2009-05-28,135.07,17412600
2009-06-03,140.95,20185700
2009-06-04,143.74,19665500
2009-06-05,144.67,22597000
2009-07-17,151.75,21505500
2009-07-20,152.909,26268800
2009-07-22,156.74,31218000
2009-07-23,157.82,18820100
2009-08-21,169.22,14859800
2009-08-24,169.06,14533200
2009-09-09,171.14,28967400
2009-09-15,175.16,15231100
2009-09-16,181.87,26929400
2009-09-17,184.55,28949000
2009-09-18,185.02,21485100
2009-10-06,190.01,21610200
2009-10-20,198.76,40751400
2009-10-21,204.92,42633100
2009-10-22,205.2,28264000
2009-12-21,198.23,21853800
2009-12-28,211.61,23020200
2010-01-05,214.38,21496600
2010-01-19,215.04,26071700
2010-03-02,208.85,20233800
2010-03-05,218.95,32129300
2010-03-09,223.02,32866400
2010-03-10,224.84,21293500
2010-03-23,228.36,21515400
2010-03-24,229.37,21349300
2010-03-26,230.9,22888400
2010-03-29,232.39,19312300
2010-04-05,238.49,24446700
2010-04-07,240.6,22446500
2010-04-16,247.4,26805200
2010-04-21,259.22,35085400
2010-04-22,266.4695,28336600
2010-04-23,270.83,28462700
2010-06-17,271.87,31173400
2010-09-01,250.33,24894200
2010-09-03,258.77,18599600
2010-09-08,262.92,18805400
2010-09-16,276.57,23289400
2010-09-17,275.37,22659900
2010-09-20,283.23,23524200
2010-09-21,283.77,23859800
2010-09-22,287.75,20903200
2010-09-23,288.92,28075600
2010-09-24,292.32,23196000
2010-10-08,294.07,23514400
2010-10-13,300.14,22503300
2010-10-15,314.74,32935500
2010-10-18,318.0,39036100
2010-11-04,318.27,22946000
2010-12-02,318.15,16529900
2010-12-06,320.15,16017200
2011-01-03,329.57,15897800
2011-01-04,331.29,11038600
2011-01-06,333.73,10729600
2011-01-07,336.12,11140400
2011-01-10,342.455,16020000
2011-01-11,341.64,15861000
2011-01-12,344.42,10806800
2011-01-13,345.68,10599300
2011-01-14,348.48,11030000
2011-02-16,363.13,17184200
2011-04-19,337.86,14977800
2011-04-20,342.41,25023800
2011-04-21,350.696,26921800
2011-05-31,347.83,14919800
2011-06-01,345.51,19810100
2011-06-23,331.23,19991400
2011-07-01,343.26,15546900
2011-07-06,351.76,15879500
2011-07-08,359.71,17486900
2011-07-15,364.92,17302400
2011-07-18,373.8,20451900
2011-07-19,376.85,29255200
2011-07-20,386.9,33619300
2011-07-21,387.29,18804800
2011-07-25,398.5,21064500
2011-09-16,400.5,24946900
2011-09-19,411.63,29423600
2011-09-20,413.45,27705500
2011-10-17,419.99,24501600
2011-10-18,422.24,31485800
2012-01-03,411.23,10793600
2012-01-06,422.4,11367600
2012-01-09,421.73,14072300
2012-01-18,429.11,9885400
2012-01-19,427.75,9347800
2012-01-25,446.66,34225500
2012-01-26,444.63,11570900
2012-01-31,456.48,13988700
2012-02-08,476.68,14567500
2012-02-09,493.17,31579100
2012-02-10,493.42,22546500
2012-02-13,502.6,18472000
2012-02-14,509.46,16442800
2012-02-27,525.76,19556500
2012-02-28,535.41,21442400
2012-02-29,542.44,34000400
2012-03-01,544.47,24402500
2012-03-13,568.1,24673400
2012-03-14,589.58,50673000
2012-03-15,585.56,41418500
2012-03-19,601.1,32187000
2012-03-20,605.96,29166500
2012-04-03,629.32,29805700
2012-05-23,570.56,20889200
2012-05-30,579.17,18908200
2012-07-02,592.52,14289000
2012-07-05,609.94,17299400
2012-07-06,605.88,14961800
2012-07-19,614.32,15602200
2012-07-31,610.76,16511700
2012-08-17,648.11,15812900
2012-08-20,665.15,21906600
2012-08-21,656.062,29025700
2012-08-22,668.87,20190100
2012-08-27,675.68,15250300
2012-09-14,691.28,21445500
2012-10-16,649.7925,19634700
2012-11-19,565.73,29404200
2012-12-31,532.1729,23553300
2013-01-23,514.005,30768200
2013-02-07,468.22,25163600
2013-03-15,443.66,22998600
2013-03-18,455.72,21649900
2013-03-19,454.49,18813400
2013-03-25,463.58,17897700
2013-04-26,417.205,27289200
2013-04-29,430.12,22868800
2013-04-30,442.78,24697800
2013-07-02,418.49,16780900
2013-07-24,440.51,21140600
2013-07-30,453.32,11050800
2013-07-31,452.53,11534200
2013-08-05,469.45,11387700
2013-08-06,465.25,11959200
2013-08-13,489.57,31497900
2013-08-14,498.5,27013300
2013-08-15,497.91,17510500
2013-08-19,507.74,18232800
2013-09-23,490.64,27218100
2013-10-21,521.362,14218100
2013-10-22,519.8675,19073700
2013-10-23,524.96,11204400
2013-10-24,531.91,13741600
2013-11-26,533.4,14335100
2013-11-27,545.96,12980300
2013-11-29,556.07,11361700
2013-12-02,551.23,16876600
2013-12-03,566.322,16106000
2013-12-04,565.0,13493200
2013-12-05,567.901,15985000
2013-12-23,570.09,17903800
2014-01-15,557.36,13987100
2014-03-11,536.09,9972300
2014-03-24,539.19,12703600
2014-03-25,544.99,10081900
2014-04-24,567.77,27139700
2014-04-25,571.94,13938400
2014-04-28,594.09,23910200
2014-04-29,592.33,12049200
2014-05-27,625.63,12459500
2014-05-28,624.01,11267200
2014-05-29,635.38,13445500
2014-05-30,633.0,20143600
2014-06-04,644.82,11981500
2014-06-05,647.35,10850200
2014-06-30,92.93,49589000
2014-07-07,95.968,56468000
2014-07-08,95.35,65222000
2014-07-23,97.19,92918000
2014-07-28,99.02,55318000
2014-08-15,97.98,48951000
2014-08-18,99.16,47572000
2014-08-19,100.53,69274700
2014-08-20,100.57,52612800
2014-08-28,102.25,68389800
2014-09-02,103.3,53491400
2014-10-09,101.02,77376525
2014-10-21,102.47,94623904
2014-10-22,102.99,68263146
2014-10-23,104.83,71074674
2014-11-13,112.82,59522855
2014-11-24,118.625,47450824
2014-11-25,117.6,68840440
